location_slug,location_name,target_date,jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
dago,"Dago, Bandung",2026-04-30,10:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.0,Tinggi,26.42,+/-0.65,70.53,+/-5.45,0.02,+/-0.07,26.19,+/-0.36,0.0,34.8,53.8,11.4,0.0,0.0
dago,"Dago, Bandung",2026-04-30,13:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,82.8,Tinggi,26.49,+/-2.32,74.91,+/-6.12,1.04,+/-1.2,28.25,+/-4.7,0.0,0.0,29.3,47.9,0.0,22.7
dago,"Dago, Bandung",2026-04-30,16:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,86.7,Tinggi,25.61,+/-1.85,80.31,+/-4.7,0.44,+/-0.49,25.24,+/-1.65,0.0,0.0,16.8,59.9,11.4,11.9
dago,"Dago, Bandung",2026-04-30,19:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.9,Tinggi,23.42,+/-1.55,91.82,+/-1.92,0.04,+/-0.08,22.91,+/-0.93,0.0,11.4,53.9,22.2,12.5,0.0
dago,"Dago, Bandung",2026-04-30,22:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,91.4,Tinggi,22.79,+/-1.68,94.28,+/-1.42,0.1,+/-0.15,22.79,+/-1.68,0.0,0.0,76.1,23.9,0.0,0.0
jatinangor,"Jatinangor, Sumedang",2026-04-30,10:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,84.6,Tinggi,27.59,+/-0.85,69.46,+/-4.3,0.89,+/-1.77,28.88,+/-1.36,0.0,24.6,49.6,14.8,0.0,11.0
jatinangor,"Jatinangor, Sumedang",2026-04-30,13:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,84.2,Tinggi,26.3,+/-1.83,75.02,+/-10.87,1.12,+/-1.02,25.94,+/-1.69,0.0,0.0,39.8,49.8,0.0,10.4
jatinangor,"Jatinangor, Sumedang",2026-04-30,16:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.0,Tinggi,25.91,+/-2.48,79.54,+/-6.99,0.02,+/-0.04,27.34,+/-4.65,0.0,0.0,54.0,34.5,0.0,11.5
jatinangor,"Jatinangor, Sumedang",2026-04-30,19:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.2,Tinggi,23.36,+/-1.88,93.61,+/-4.91,0.19,+/-0.24,22.84,+/-1.39,0.0,0.0,53.5,34.5,12.0,0.0
jatinangor,"Jatinangor, Sumedang",2026-04-30,22:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,92.0,Tinggi,22.55,+/-2.09,96.22,+/-2.65,0.26,+/-0.45,21.93,+/-1.44,0.0,0.0,77.0,23.0,0.0,0.0
arjawinangun,"Arjawinangun, Cirebon",2026-04-30,10:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.5,Tinggi,30.65,+/-0.67,71.09,+/-4.36,0.06,+/-0.13,36.69,+/-1.15,0.0,26.8,51.8,11.0,0.0,10.4
arjawinangun,"Arjawinangun, Cirebon",2026-04-30,13:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,84.8,Tinggi,30.7,+/-1.94,68.41,+/-8.13,0.64,+/-0.66,36.18,+/-3.07,0.0,12.0,27.2,50.4,0.0,10.4
arjawinangun,"Arjawinangun, Cirebon",2026-04-30,16:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.8,Tinggi,29.52,+/-1.31,74.19,+/-4.3,0.03,+/-0.05,34.8,+/-2.58,0.0,0.0,54.0,24.1,0.0,21.9
arjawinangun,"Arjawinangun, Cirebon",2026-04-30,19:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,92.5,Tinggi,27.45,+/-1.07,86.2,+/-3.18,0.29,+/-0.52,31.22,+/-3.59,0.0,0.0,77.5,12.0,0.0,10.4
arjawinangun,"Arjawinangun, Cirebon",2026-04-30,22:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,82.6,Tinggi,26.82,+/-0.83,89.3,+/-3.08,0.51,+/-0.76,29.53,+/-3.19,0.0,21.9,29.4,38.3,0.0,10.4
